"","sd2.lon","sd2.lat"
"1",-114.08475,51.05102
"2",-112.82487,53.02222
"3",-114.4236,51.19707
"4",-113.78713,53.35293
"5",-111.54679,50.76167
"6",-113.0757,51.94
"7",-113.55549,53.49052
"8",-112.86818,53.60971
"9",-110.2929,49.66091
"10",-113.16594,53.75777
"11",-112.88331,51.41672
"12",-113.86926,50.5816
"13",-114.02206,52.09489
"14",-113.43472,53.2505
"15",-112.81073,49.69673
"16",-110.68448,50.0177
"17",-112.0632,49.11612
"18",-113.43595,53.03839
"19",-113.85077,50.33895
"20",-113.83694,52.30278
"21",-113.7258,53.6726
"22",-113.14795,53.45372
"23",-112.63333,52.31669
"24",-112.66554,53.37204
"25",-133.15,55.4667
"26",-134.5333,58.3167
"27",-135.4333,59.2333
"28",-145.6333,60.5333
"29",-149.86397,61.14469
"30",-133.05001,55.55002
"31",-145.64511,60.53135
"32",-145.63334,64.10003
"33",-149.56794,61.32143
"34",-147.84663,64.87791
"35",-135.87208,58.45059
"36",-135.46934,59.23625
"37",-151.48961,59.63358
"38",-134.55001,58.31673
"39",-131.67,55.38311
"40",-132.94998,56.70003
"41",-149.24345,61.59941
"42",-149.41607,60.14394
"43",-135.56525,57.05267
"44",-151.19229,60.46363
"45",-151.0736,60.46471
"46",-135.27472,59.5285
"47",-132.61669,55.71672
"48",-150.12046,62.28372
"49",-135.21919,57.77923
"50",-132.35,56.41671
"51",-139.65,59.5333
"52",-87.3167,32.6167
"53",-86.8667,33.1
"54",-87.5667,33.2167
"55",-87.0333,33.5167
"56",-85.75,33.8
"57",-86.2833,34.3833
"58",-86.8667,34.5667
"59",-88,34.85
"60",-87.7167,30.3
"61",-88.1333,30.3
"62",-88.0667,30.6667
"63",-85.44971,32.58602
"64",-86.75831,33.46597
"65",-86.87521,34.17048
"66",-88.12836,30.33849
"67",-85.08857,31.9939
"68",-87.9,30.2333
"69",-87.6333,30.31671
"70",-86.28034,34.38828
"71",-86.3831,32.34962
"72",-87.95,30.75001
"73",-87.57658,33.23898
"74",-88.00023,34.83332
"75",-86.88373,34.60013
"76",-93.2333,33.2667
"77",-92.6167,33.2833
"78",-94.05,33.75
"79",-92,34.2167
"80",-90.6333,34.5333
"81",-91.5833,34.65
"82",-91.4,34.6833
"83",-92.9667,34.6833
"84",-93.1167,35.2
"85",-92.2667,35.65
"86",-92.2677,35.6544
"87",-90.7667,35.8333
"88",-93.3667,36.0167
"89",-94.5,36.2
"90",-93.05,34.1333
"91",-91.29168,34.87196
"92",-92.5836,36.0774
"93",-90.12265,35.88739
"94",-93.1425,36.17151
"95",-92.42266,35.09157
"96",-94.17187,36.05664
"97",-94.37659,35.38181
"98",-93.13823,35.16604
"99",-92.9667,34.7167
"100",-93.0333,34.4667
"101",-90.70202,35.92316
"102",-93.32513,35.34174
"103",-92.0667,33.15001
"104",-91.89573,34.74899
"105",-92.27921,34.75817
"106",-91.3167,33.4
"107",-94.2333,34.5833
"108",-92.4672,36.38619
"109",-93.28321,33.26836
"110",-93.64473,35.16701
"111",-90.69937,34.65293
"112",-93.0167,35.61714
"113",-92.00326,34.22951
"114",-92.18853,36.03672
"115",-93.92154,33.47255
"116",-92.2667,35.6167
"117",-90.70844,35.1612
"118",-90.2333,35.35
"119",-91.121,34.3146
"120",-112.6333,32
"121",-110.6167,32.1333
"122",-111.2333,32.25
"123",-113.6167,32.3167
"124",-114.5167,32.9
"125",-112.7333,33.3
"126",-112.2333,33.4833
"127",-112.25,33.4833
"128",-109.3833,34.0833
"129",-114.0833,34.3
"130",-111.7333,34.5833
"131",-110.1833,35.85
"132",-112.1167,36.0667
"133",-111.2667,36.65
"134",-110.9167,31.3833
"135",-110.2,31.4833
"136",-110.9,31.8
"137",-109.1333,31.9167
"138",-111.7333,33.55
"139",-111.17278,31.47006
"140",-111.25001,32.25005
"141",-110.46456,31.60515
"142",-111.45,31.5667
"143",-114.09283,34.30018
"144",-111.902,33.8594
"145",-112.40002,34.80006
"146",-112.9167,32.36671
"147",-111.75447,34.58731
"148",-110.7179,32.90291
"149",-109.6833,31.66671
"150",-111.59755,35.24103
"151",-111.51667,36.91667
"152",-112.68328,33.30709
"153",-110.91512,31.79232
"154",-112.0658,36.0143
"155",-112.66682,34.00078
"156",-114.31069,34.45245
"157",-112.12381,34.73985
"158",-111,36.65
"159",-112.75,34.4333
"160",-112.75,31.9667
"161",-111.45,35
"162",-114.46226,32.88842
"163",-110.93578,31.4338
"164",-113.05,32.0333
"165",-110.6833,31.4833
"166",-114.3833,34.0833
"167",-109.13645,31.90094
"168",-112.47014,34.5419
"169",-112.73705,36.86261
"170",-112.35824,33.37253
"171",-111.35001,34.34998
"172",-110.20003,31.45001
"173",-110.72952,32.33535
"174",-110.12648,31.89078
"175",-111.8802,34.8391
"176",-109.3833,34.5333
"177",-111.18333,33.31667
"178",-111.61599,33.63896
"179",-109.95816,34.20893
"180",-110.97349,32.30163
"181",-114.66463,35.87589
"182",-123.05,49.0667
"183",-122.75,49.0833
"184",-116.5333,49.15
"185",-121.9833,49.15
"186",-122.2167,49.1667
"187",-123.9667,49.2
"188",-124.9,49.25
"189",-124.7333,49.4667
"190",-117.2833,49.4833
"191",-123.1333,49.7167
"192",-119.4833,49.8833
"193",-125.2333,50.0167
"194",-119.2833,50.2667
"195",-132.0333,53.25
"196",-130.3,54.3
"197",-117.58889,49.34028
"198",-121.25003,50.75004
"199",-119.2112,50.4815
"200",-119.91702,49.30761
"201",-122.30309,49.11358
"202",-125.13646,48.83523
"203",-126.63705,52.37937
"204",-127.00001,50.58332
"205",-119.22029,49.06012
"206",-119.796,49.0961
"207",-115.7943,49.4988
"208",-117.58377,49.34839
"209",-121.94359,49.11133
"210",-124.95498,50.07536
"211",-124.92868,49.6726
"212",-125.2088,49.96657
"213",-116.51671,49.10003
"214",-122.50262,50.51054
"215",-124.73616,49.46575
"216",-123.67139,48.78818
"217",-118.01678,49.91702
"218",-115.03792,49.49708
"219",-124.25763,54.44423
"220",-118.34891,49.04671
"221",-116.9656,51.307
"222",-123.45885,48.90689
"223",-117.05738,49.66083
"224",-121.58104,50.74943
"225",-121.2895,51.66456
"226",-121.84988,49.31633
"227",-123.3509,49.42557
"228",-124.16891,48.45999
"229",-120.398,50.66944
"230",-115.83332,49.71718
"231",-119.49346,49.88361
"232",-128.67774,54.05917
"233",-116.96002,49.91068
"234",-123.05729,49.05376
"235",-119.39353,50.07865
"236",-121.93284,50.67901
"237",-124.2781,49.51692
"238",-116.95463,50.14584
"239",-116.0667,50.5333
"240",-132.19026,54.04641
"241",-120.67416,50.16341
"242",-124.13569,49.28496
"243",-117.72185,50.21475
"244",-123.93331,49.16676
"245",-117.29498,49.49305
"246",-119.51636,49.07872
"247",-124.81396,49.25731
"248",-122.76777,50.31629
"249",-119.7636,49.7549
"250",-119.596,49.52943
"251",-122.7648,53.91184
"252",-124.01504,49.6744
