unit,percent_change_median,percent_change_lcl95,percent_change_ucl95
BCR10,5.070834247,2.905056559,7.218184097
BCR11,4.832616172,2.781570375,6.892920971
BCR12,6.345567568,4.367258105,8.257959169
BCR13,9.108046799,7.754139381,10.36270934
BCR14,6.358650368,4.345329272,8.320924728
BCR15,4.109336832,1.377340503,7.178700976
BCR16,0.567315939,-0.923608172,1.879500912
BCR17,5.249984834,2.691623243,7.670554246
BCR18,3.281127637,0.424169753,5.278146595
BCR19,4.784737331,2.830956672,6.57651372
BCR2,8.576724512,1.705621694,15.14111128
BCR20,-3.856995009,-7.395054267,-0.015978217
BCR21,-0.087120492,-1.644188135,1.423396523
BCR22,1.780496337,-0.067698105,3.491887642
BCR23,7.345963898,5.627182055,8.636133543
BCR24,2.115290236,0.068292023,3.863624487
BCR25,1.077313959,-0.470327517,2.590236615
BCR26,-0.817266315,-3.353317789,0.985899133
BCR27,-0.758293235,-1.804591622,0.151849385
BCR28,2.227189976,0.724382534,3.515215374
BCR29,0.766725679,-1.005033451,2.397702916
BCR30,5.631497896,4.810740885,6.442714862
BCR31,-5.060071437,-6.323589498,-3.748693734
BCR32,0.855421876,-0.203605256,1.987882717
BCR33,0.627477705,-2.019532835,3.132243966
BCR34,-0.450923087,-5.122538726,2.866211009
BCR35,1.237391492,-0.728013458,3.309487924
BCR36,-7.95982317,-10.77155005,-5.131176094
BCR37,-2.810117425,-6.404502358,0.680524139
BCR4,14.2641177,10.99938211,17.60115572
BCR5,0.04058392,-0.950610862,0.835188293
BCR8,2.655069154,-7.837093445,11.30388912
BCR9,2.864777556,0.698809579,4.583510233
